ProductCode,TierID,PlanCode,PlanName,Age,InsuredPattern,SumInsured,Tenure,Rate
HSP   ,1,NSS00001            ,SilverSmart                   ,0,1000,300000,1,6567
HSP   ,1,NSS00002            ,SilverSmart                   ,1,1000,300000,1,6567
HSP   ,1,NSS00003            ,SilverSmart                   ,2,1000,300000,1,6567
HSP   ,1,NSS00004            ,SilverSmart                   ,3,1000,300000,1,6567
HSP   ,1,NSS00005            ,SilverSmart                   ,4,1000,300000,1,6567
HSP   ,1,NSS00006            ,SilverSmart                   ,5,1000,300000,1,6567
HSP   ,1,NSS00007            ,SilverSmart                   ,6,1000,300000,1,6567
HSP   ,1,NSS00008            ,SilverSmart                   ,7,1000,300000,1,6567
HSP   ,1,NSS00009            ,SilverSmart                   ,8,1000,300000,1,6567
HSP   ,1,NSS00010            ,SilverSmart                   ,9,1000,300000,1,6567
HSP   ,1,NSS00011            ,SilverSmart                   ,10,1000,300000,1,6567
HSP   ,1,NSS00012            ,SilverSmart                   ,11,1000,300000,1,6567
HSP   ,1,NSS00013            ,SilverSmart                   ,12,1000,300000,1,6567
HSP   ,1,NSS00014            ,SilverSmart                   ,13,1000,300000,1,6567
HSP   ,1,NSS00015            ,SilverSmart                   ,14,1000,300000,1,6567
HSP   ,1,NSS00016            ,SilverSmart                   ,15,1000,300000,1,6567
HSP   ,1,NSS00017            ,SilverSmart                   ,16,1000,300000,1,6567
HSP   ,1,NSS00018            ,SilverSmart                   ,17,1000,300000,1,6567
HSP   ,1,NSS00019            ,SilverSmart                   ,18,1000,300000,1,8838
HSP   ,1,NSS00020            ,SilverSmart                   ,19,1000,300000,1,8838
HSP   ,1,NSS00021            ,SilverSmart                   ,20,1000,300000,1,8838
HSP   ,1,NSS00022            ,SilverSmart                   ,21,1000,300000,1,8838
HSP   ,1,NSS00023            ,SilverSmart                   ,22,1000,300000,1,8838
HSP   ,1,NSS00024            ,SilverSmart                   ,23,1000,300000,1,8838
HSP   ,1,NSS00025            ,SilverSmart                   ,24,1000,300000,1,8838
HSP   ,1,NSS00026            ,SilverSmart                   ,25,1000,300000,1,8838
HSP   ,1,NSS00027            ,SilverSmart                   ,26,1000,300000,1,8838
HSP   ,1,NSS00028            ,SilverSmart                   ,27,1000,300000,1,8838
HSP   ,1,NSS00029            ,SilverSmart                   ,28,1000,300000,1,8838
HSP   ,1,NSS00030            ,SilverSmart                   ,29,1000,300000,1,8838
HSP   ,1,NSS00031            ,SilverSmart                   ,30,1000,300000,1,8838
HSP   ,1,NSS00032            ,SilverSmart                   ,31,1000,300000,1,8838
HSP   ,1,NSS00033            ,SilverSmart                   ,32,1000,300000,1,8838
HSP   ,1,NSS00034            ,SilverSmart                   ,33,1000,300000,1,8838
HSP   ,1,NSS00035            ,SilverSmart                   ,34,1000,300000,1,8838
HSP   ,1,NSS00036            ,SilverSmart                   ,35,1000,300000,1,8838
HSP   ,1,NSS00037            ,SilverSmart                   ,36,1000,300000,1,11042
HSP   ,1,NSS00038            ,SilverSmart                   ,37,1000,300000,1,11042
HSP   ,1,NSS00039            ,SilverSmart                   ,38,1000,300000,1,11042
HSP   ,1,NSS00040            ,SilverSmart                   ,39,1000,300000,1,11042
HSP   ,1,NSS00041            ,SilverSmart                   ,40,1000,300000,1,11042
HSP   ,1,NSS00042            ,SilverSmart                   ,41,1000,300000,1,11042
HSP   ,1,NSS00043            ,SilverSmart                   ,42,1000,300000,1,11042
HSP   ,1,NSS00044            ,SilverSmart                   ,43,1000,300000,1,11042
HSP   ,1,NSS00045            ,SilverSmart                   ,44,1000,300000,1,11042
HSP   ,1,NSS00046            ,SilverSmart                   ,45,1000,300000,1,11042
HSP   ,1,NSS00047            ,SilverSmart                   ,46,1000,300000,1,14253
HSP   ,1,NSS00048            ,SilverSmart                   ,47,1000,300000,1,14253
HSP   ,1,NSS00049            ,SilverSmart                   ,48,1000,300000,1,14253
HSP   ,1,NSS00050            ,SilverSmart                   ,49,1000,300000,1,14253
HSP   ,1,NSS00051            ,SilverSmart                   ,50,1000,300000,1,14253
HSP   ,1,NSS00052            ,SilverSmart                   ,51,1000,300000,1,18615
HSP   ,1,NSS00053            ,SilverSmart                   ,52,1000,300000,1,18615
HSP   ,1,NSS00054            ,SilverSmart                   ,53,1000,300000,1,18615
HSP   ,1,NSS00055            ,SilverSmart                   ,54,1000,300000,1,18615
HSP   ,1,NSS00056            ,SilverSmart                   ,55,1000,300000,1,18615
HSP   ,1,NSS00057            ,SilverSmart                   ,56,1000,300000,1,22107
HSP   ,1,NSS00058            ,SilverSmart                   ,57,1000,300000,1,22107
HSP   ,1,NSS00059            ,SilverSmart                   ,58,1000,300000,1,22107
HSP   ,1,NSS00060            ,SilverSmart                   ,59,1000,300000,1,22107
HSP   ,1,NSS00061            ,SilverSmart                   ,60,1000,300000,1,22107
HSP   ,1,NSS00062            ,SilverSmart                   ,61,1000,300000,1,30416
HSP   ,1,NSS00063            ,SilverSmart                   ,62,1000,300000,1,30416
HSP   ,1,NSS00064            ,SilverSmart                   ,63,1000,300000,1,30416
HSP   ,1,NSS00065            ,SilverSmart                   ,64,1000,300000,1,30416
HSP   ,1,NSS00066            ,SilverSmart                   ,65,1000,300000,1,30416
HSP   ,1,NSS00067            ,SilverSmart                   ,66,1000,300000,1,38527
HSP   ,1,NSS00068            ,SilverSmart                   ,67,1000,300000,1,38527
HSP   ,1,NSS00069            ,SilverSmart                   ,68,1000,300000,1,38527
HSP   ,1,NSS00070            ,SilverSmart                   ,69,1000,300000,1,38527
HSP   ,1,NSS00071            ,SilverSmart                   ,70,1000,300000,1,38527
HSP   ,1,NSS00072            ,SilverSmart                   ,71,1000,300000,1,49408
HSP   ,1,NSS00073            ,SilverSmart                   ,72,1000,300000,1,49408
HSP   ,1,NSS00074            ,SilverSmart                   ,73,1000,300000,1,49408
HSP   ,1,NSS00075            ,SilverSmart                   ,74,1000,300000,1,49408
HSP   ,1,NSS00076            ,SilverSmart                   ,75,1000,300000,1,49408
HSP   ,1,NSS00077            ,SilverSmart                   ,76,1000,300000,1,49408
HSP   ,1,NSS00078            ,SilverSmart                   ,77,1000,300000,1,49408
HSP   ,1,NSS00079            ,SilverSmart                   ,78,1000,300000,1,49408
HSP   ,1,NSS00080            ,SilverSmart                   ,79,1000,300000,1,49408
HSP   ,1,NSS00081            ,SilverSmart                   ,80,1000,300000,1,49408
HSP   ,1,NSS00082            ,SilverSmart                   ,81,1000,300000,1,49408
HSP   ,1,NSS00083            ,SilverSmart                   ,82,1000,300000,1,49408
HSP   ,1,NSS00084            ,SilverSmart                   ,83,1000,300000,1,49408
HSP   ,1,NSS00085            ,SilverSmart                   ,84,1000,300000,1,49408
HSP   ,1,NSS00086            ,SilverSmart                   ,85,1000,300000,1,49408
HSP   ,1,NSS00087            ,SilverSmart                   ,86,1000,300000,1,49408
HSP   ,1,NSS00088            ,SilverSmart                   ,87,1000,300000,1,49408
HSP   ,1,NSS00089            ,SilverSmart                   ,88,1000,300000,1,49408
HSP   ,1,NSS00090            ,SilverSmart                   ,89,1000,300000,1,49408
HSP   ,1,NSS00091            ,SilverSmart                   ,90,1000,300000,1,49408
HSP   ,2,NSS00092            ,SilverSmart                   ,0,1000,300000,1,5064
HSP   ,2,NSS00093            ,SilverSmart                   ,1,1000,300000,1,5064
HSP   ,2,NSS00094            ,SilverSmart                   ,2,1000,300000,1,5064
HSP   ,2,NSS00095            ,SilverSmart                   ,3,1000,300000,1,5064
HSP   ,2,NSS00096            ,SilverSmart                   ,4,1000,300000,1,5064
HSP   ,2,NSS00097            ,SilverSmart                   ,5,1000,300000,1,5064
HSP   ,2,NSS00098            ,SilverSmart                   ,6,1000,300000,1,5064
HSP   ,2,NSS00099            ,SilverSmart                   ,7,1000,300000,1,5064
HSP   ,2,NSS00100            ,SilverSmart                   ,8,1000,300000,1,5064
HSP   ,2,NSS00101            ,SilverSmart                   ,9,1000,300000,1,5064
HSP   ,2,NSS00102            ,SilverSmart                   ,10,1000,300000,1,5064
HSP   ,2,NSS00103            ,SilverSmart                   ,11,1000,300000,1,5064
HSP   ,2,NSS00104            ,SilverSmart                   ,12,1000,300000,1,5064
HSP   ,2,NSS00105            ,SilverSmart                   ,13,1000,300000,1,5064
HSP   ,2,NSS00106            ,SilverSmart                   ,14,1000,300000,1,5064
HSP   ,2,NSS00107            ,SilverSmart                   ,15,1000,300000,1,5064
HSP   ,2,NSS00108            ,SilverSmart                   ,16,1000,300000,1,5064
HSP   ,2,NSS00109            ,SilverSmart                   ,17,1000,300000,1,5064
HSP   ,2,NSS00110            ,SilverSmart                   ,18,1000,300000,1,6727
HSP   ,2,NSS00111            ,SilverSmart                   ,19,1000,300000,1,6727
HSP   ,2,NSS00112            ,SilverSmart                   ,20,1000,300000,1,6727
HSP   ,2,NSS00113            ,SilverSmart                   ,21,1000,300000,1,6727
HSP   ,2,NSS00114            ,SilverSmart                   ,22,1000,300000,1,6727
HSP   ,2,NSS00115            ,SilverSmart                   ,23,1000,300000,1,6727
HSP   ,2,NSS00116            ,SilverSmart                   ,24,1000,300000,1,6727
HSP   ,2,NSS00117            ,SilverSmart                   ,25,1000,300000,1,6727
HSP   ,2,NSS00118            ,SilverSmart                   ,26,1000,300000,1,6727
HSP   ,2,NSS00119            ,SilverSmart                   ,27,1000,300000,1,6727
HSP   ,2,NSS00120            ,SilverSmart                   ,28,1000,300000,1,6727
HSP   ,2,NSS00121            ,SilverSmart                   ,29,1000,300000,1,6727
HSP   ,2,NSS00122            ,SilverSmart                   ,30,1000,300000,1,6727
HSP   ,2,NSS00123            ,SilverSmart                   ,31,1000,300000,1,6727
HSP   ,2,NSS00124            ,SilverSmart                   ,32,1000,300000,1,6727
HSP   ,2,NSS00125            ,SilverSmart                   ,33,1000,300000,1,6727
HSP   ,2,NSS00126            ,SilverSmart                   ,34,1000,300000,1,6727
HSP   ,2,NSS00127            ,SilverSmart                   ,35,1000,300000,1,6727
HSP   ,2,NSS00128            ,SilverSmart                   ,36,1000,300000,1,8282
HSP   ,2,NSS00129            ,SilverSmart                   ,37,1000,300000,1,8282
HSP   ,2,NSS00130            ,SilverSmart                   ,38,1000,300000,1,8282
HSP   ,2,NSS00131            ,SilverSmart                   ,39,1000,300000,1,8282
HSP   ,2,NSS00132            ,SilverSmart                   ,40,1000,300000,1,8282
HSP   ,2,NSS00133            ,SilverSmart                   ,41,1000,300000,1,8282
HSP   ,2,NSS00134            ,SilverSmart                   ,42,1000,300000,1,8282
HSP   ,2,NSS00135            ,SilverSmart                   ,43,1000,300000,1,8282
HSP   ,2,NSS00136            ,SilverSmart                   ,44,1000,300000,1,8282
HSP   ,2,NSS00137            ,SilverSmart                   ,45,1000,300000,1,8282
HSP   ,2,NSS00138            ,SilverSmart                   ,46,1000,300000,1,10989
HSP   ,2,NSS00139            ,SilverSmart                   ,47,1000,300000,1,10989
HSP   ,2,NSS00140            ,SilverSmart                   ,48,1000,300000,1,10989
HSP   ,2,NSS00141            ,SilverSmart                   ,49,1000,300000,1,10989
HSP   ,2,NSS00142            ,SilverSmart                   ,50,1000,300000,1,10989
HSP   ,2,NSS00143            ,SilverSmart                   ,51,1000,300000,1,14715
HSP   ,2,NSS00144            ,SilverSmart                   ,52,1000,300000,1,14715
HSP   ,2,NSS00145            ,SilverSmart                   ,53,1000,300000,1,14715
HSP   ,2,NSS00146            ,SilverSmart                   ,54,1000,300000,1,14715
HSP   ,2,NSS00147            ,SilverSmart                   ,55,1000,300000,1,14715
HSP   ,2,NSS00148            ,SilverSmart                   ,56,1000,300000,1,17588
HSP   ,2,NSS00149            ,SilverSmart                   ,57,1000,300000,1,17588
HSP   ,2,NSS00150            ,SilverSmart                   ,58,1000,300000,1,17588
HSP   ,2,NSS00151            ,SilverSmart                   ,59,1000,300000,1,17588
HSP   ,2,NSS00152            ,SilverSmart                   ,60,1000,300000,1,17588
HSP   ,2,NSS00153            ,SilverSmart                   ,61,1000,300000,1,24032
HSP   ,2,NSS00154            ,SilverSmart                   ,62,1000,300000,1,24032
HSP   ,2,NSS00155            ,SilverSmart                   ,63,1000,300000,1,24032
HSP   ,2,NSS00156            ,SilverSmart                   ,64,1000,300000,1,24032
HSP   ,2,NSS00157            ,SilverSmart                   ,65,1000,300000,1,24032
HSP   ,2,NSS00158            ,SilverSmart                   ,66,1000,300000,1,30465
HSP   ,2,NSS00159            ,SilverSmart                   ,67,1000,300000,1,30465
HSP   ,2,NSS00160            ,SilverSmart                   ,68,1000,300000,1,30465
HSP   ,2,NSS00161            ,SilverSmart                   ,69,1000,300000,1,30465
